anio,n,entidad,agegrp,women,child_born_13 ,child_born,child_dead_13,child_dead
2020,27,Tabasco,30-34,95722,180896,179132,,4260
2020,27,Tabasco,35-39,95214,214651,210819,,5802
2020,27,Tabasco,40-44,88448,221337,214707,,7724
2020,27,Tabasco,45-49,77043,209665,199863,,9026
2020,28,Tamaulipas,15-19,145588,16687,16626,,390
2020,28,Tamaulipas,20-24,141853,90562,90429,,2042
2020,28,Tamaulipas,25-29,136079,176553,176131,,4260
2020,28,Tamaulipas,30-34,131470,241568,240186,,6099
2020,28,Tamaulipas,35-39,131902,286989,284355,,8100
2020,28,Tamaulipas,40-44,127935,303887,299842,,9996
2020,28,Tamaulipas,45-49,120625,298600,293018,,12082
2020,29,Tlaxcala,15-19,59613,7205,7194,,136
2020,29,Tlaxcala,20-24,57135,37424,37397,,833
2020,29,Tlaxcala,25-29,53827,69493,69424,,1569
2020,29,Tlaxcala,30-34,51103,93063,92776,,2354
2020,29,Tlaxcala,35-39,51281,112592,111966,,3206
2020,29,Tlaxcala,40-44,47874,117417,115859,,4030
2020,29,Tlaxcala,45-49,43093,115052,112247,,5082
2020,30,Veracruz ,15-19,337179,40230,40147,,840
2020,30,Veracruz ,20-24,307891,193639,193443,,3870
2020,30,Veracruz ,25-29,307627,381503,380958,,8297
2020,30,Veracruz ,30-34,304597,529588,526014,,13003
2020,30,Veracruz ,35-39,300051,635993,624710,,18621
2020,30,Veracruz ,40-44,290274,685223,663871,,24742
2020,30,Veracruz ,45-49,275886,705895,672943,,31941
2020,31,Yucatan,15-19,96817,10625,10600,,194
2020,31,Yucatan,20-24,99340,55634,55588,,1079
2020,31,Yucatan,25-29,96361,106789,106625,,2172
2020,31,Yucatan,30-34,93739,150424,149438,,3336
2020,31,Yucatan,35-39,89132,178950,176568,,4449
2020,31,Yucatan,40-44,83402,190571,186023,,5863
2020,31,Yucatan,45-49,75709,190375,183580,,6890
2020,32,Zacatecas,15-19,70298,9025,9007,,181
2020,32,Zacatecas,20-24,66924,45786,45732,,1087
2020,32,Zacatecas,25-29,61743,87557,87389,,2110
2020,32,Zacatecas,30-34,60834,122290,121505,,2960
2020,32,Zacatecas,35-39,55045,135007,133245,,3882
2020,32,Zacatecas,40-44,53918,147533,144088,,5382
2020,32,Zacatecas,45-49,49004,143849,138382,,6490
2010,0,Nacional,15-19,5369666,823668,822538,15790,15780
2010,0,Nacional,20-24,4998393,3763378,3744941,82326,81913
2010,0,Nacional,25-29,4527650,6627236,6577182,159974,159380
2010,0,Nacional,30-34,4396656,9215909,9040245,258578,257644
2010,0,Nacional,35-39,4284841,10888131,10484650,374295,372390
2010,0,Nacional,40-44,3628006,10639799,9948805,477214,473492
2010,0,Nacional,45-49,3079633,10257598,9228724,594430,587023
2010,1,Aguascalientes,15-19,59570,8869,8856,154,154
2010,1,Aguascalientes,20-24,54080,39861,39716,672,668
2010,1,Aguascalientes,25-29,48506,72420,72028,1461,1456
2010,1,Aguascalientes,30-34,46217,100435,99047,2441,2426
2010,1,Aguascalientes,35-39,45228,120108,116353,3559,3536
2010,1,Aguascalientes,40-44,38400,118261,110497,4565,4540
2010,1,Aguascalientes,45-49,31514,110934,98754,5521,5449
2010,2,Baja California,15-19,144688,24844,24810,481,480
2010,2,Baja California,20-24,140269,113787,113419,2270,2265
2010,2,Baja California,25-29,130655,194443,193392,4188,4156
2010,2,Baja California,30-34,130024,270670,267676,6451,6439
2010,2,Baja California,35-39,127632,315117,308974,9051,8979
2010,2,Baja California,40-44,103550,289420,279021,10142,10059
2010,2,Baja California,45-49,83610,255498,241371,11590,11493
2010,3,Baja California Sur,15-19,27493,5100,5093,105,105
2010,3,Baja California Sur,20-24,28074,23221,23136,415,415
2010,3,Baja California Sur,25-29,27682,40507,40346,780,778
2010,3,Baja California Sur,30-34,27186,54859,54426,1161,1155
2010,3,Baja California Sur,35-39,25208,60302,59436,1593,1593
2010,3,Baja California Sur,40-44,20278,54470,53134,1843,1839
2010,3,Baja California Sur,45-49,16756,49879,47844,2203,2197
2010,4,Campeche,15-19,40545,6663,6659,110,110
2010,4,Campeche,20-24,38777,30254,30174,576,576
2010,4,Campeche,25-29,35328,52450,52087,1064,1063
2010,4,Campeche,30-34,33638,70955,69537,1712,1709
2010,4,Campeche,35-39,31570,81935,78492,2562,2556
2010,4,Campeche,40-44,25478,77621,71920,3410,3381
2010,4,Campeche,45-49,21675,76664,67600,4550,4502
2010,5,Coahuila de Zaragoza,15-19,126881,23444,23430,440,440
2010,5,Coahuila de Zaragoza,20-24,113240,93947,93668,1861,1848
2010,5,Coahuila de Zaragoza,25-29,105076,164662,164121,3427,3421
2010,5,Coahuila de Zaragoza,30-34,109285,238625,237162,5751,5751
2010,5,Coahuila de Zaragoza,35-39,107540,273370,270195,7781,7758
2010,5,Coahuila de Zaragoza,40-44,90569,254678,248972,8812,8773
2010,5,Coahuila de Zaragoza,45-49,76844,238501,228979,10743,10643
2010,6,Colima,15-19,30310,4731,4726,60,60
2010,6,Colima,20-24,30263,21551,21432,382,376
2010,6,Colima,25-29,26952,37279,37128,693,687
2010,6,Colima,30-34,25753,51505,51089,1144,1139
2010,6,Colima,35-39,24800,59657,58595,1583,1574
2010,6,Colima,40-44,21189,58738,56602,2169,2148
2010,6,Colima,45-49,18191,56976,53412,2736,2689
2010,7,Chiapas,15-19,263386,49897,49857,1057,1057
2010,7,Chiapas,20-24,228152,219974,218640,5767,5744
2010,7,Chiapas,25-29,194535,365443,357446,11137,11097
2010,7,Chiapas,30-34,176976,464290,436231,16925,16860
2010,7,Chiapas,35-39,161719,521517,465247,25032,24890
2010,7,Chiapas,40-44,126964,473964,403861,29938,29670
2010,7,Chiapas,45-49,108968,469910,378036,38300,37658
2010,8,Chihuahua,15-19,153325,30927,30881,738,738
